#This files contains mappings which changed from forge release 1.7.10 and the current MCPBot mappings
allowedCharacters,allowedCharactersArray,
allowedCharactersArrayArray,allowedCharactersArray,EoD: added to revert lines which hit twice
closeInventory,closeChest,
fontRenderer,fontRendererObj,this one might replace fontRendererObj with fontRendererObjObj hence \b
fontRendererObjObj,fontRendererObj,EoD: added to revert those which have been duplicated by accident
getAccessibleSlotsFromSide,getSlotsForFace,
getItemDamage,getMetadata,
getLastActiveItems,getInventory,
getMaxDamage,getMaxDurability,
getWorldObj,getWorld,
hasCustomInventoryName,isCustomInventoryName,
mouseMovedOrUp,mouseReleased,
XonGround,XswingProgress,This is only true for "float onGround" not in general
openInventory,openChest,
registerBlockIcons,registerIcons,
setBlockName,setUnlocalizedName,
setBlockTextureName,setTextureName,
setItemDamage,setMetadata,
setMaxDamage,setMaxDurability,
setMaxDurabilityPercent,setMaxDamagePercent,
smelting,instance,
onEaten,onItemUseFinish,
getPlayerCoordinates,getCommandSenderPosition,
velocityToAddToEntity,modifyEntityVelocity,
getBreakSound,getDigResourcePath,
getStepResourcePath,getStepSound,
opaque,fullBlock,
